ID,Priority,Component,Summary,Description,Location
REVIEW-P0-1,P0,backend/security,Offload bcrypt hashing from event loop,"CPU-bound bcrypt hashing должен выполняться в executor, чтобы event loop оставался отзывчивым при конкурентной нагрузке. Уже частично реализовано через hash_password_async — задача: убедиться, что все вызовы password-hashing используют async-обёртку, и удалить sync-точки.",backend/app/core/security.py:55-59
REVIEW-P0-2,P0,backend/news,Sanitize HTML body (XSS prevention),"Тело новости (HTML) должно проходить через sanitize_html() перед сохранением и при обновлении. Сейчас вызовы добавлены, но требуется аудит политики санитизации (allowlist тегов/атрибутов), покрытие тестами и проверка на bypass-векторы.",backend/app/services/news.py:212; backend/app/services/news.py:266
REVIEW-P0-3,P0,backend/auth,Validate redirect_after to prevent open-redirect,"Параметр redirect_after из OIDC-флоу должен быть валидирован через safe_redirect, чтобы исключить переход на внешние хосты. Сейчас safe_redirect вызывается — задача: подтвердить покрытие тестами всех векторов (//evil.com, javascript:, data:, относительные пути с обходом).",backend/app/api/auth.py:62-66
REVIEW-P0-4,P0,backend/users,Streaming upload for user avatars,"Загрузка аватара должна стримиться на диск, а не буферизоваться в память (защита от OOM при больших файлах). Сейчас stream_upload_to_path используется — нужно подтвердить chunk-size, лимит размера, и обработку обрыва соединения.",backend/app/api/users/users_service.py:102-106
REVIEW-P0-5,P0,backend/users,Real MIME validation for avatar uploads,"Проверка MIME-типа аватара должна основываться на содержимом файла (magic bytes), а не на Content-Type из заголовка или расширении. Сейчас передаётся allowed_mimes — задача: добавить проверку через python-magic/filetype и unit-тесты на спуфинг.",backend/app/api/users/users_service.py:102-106
REVIEW-P0-9,P0,backend/news,Verify body_tsvector column matches migration,"ORM-mapping body_tsvector должен соответствовать GENERATED tsvector колонке из миграции 002 (переименована body_tsv -> body_tsvector в миграции 007). Задача: добавить integration-тест, проверяющий совпадение схемы ORM и реальной БД после прогона миграций.",backend/app/models/news.py:43-47
REVIEW-P0-11,P0,backend/news,Targeting filter by user role,"Фильтр target_roles должен учитывать роли пользователя по той же логике, что и target_departments (пусто = всем, иначе пересечение). Задача: реализовать фильтр в _visibility_filter, покрыть тестами все комбинации (admin/editor/regular vs пустой/непустой список ролей).",backend/app/services/news.py:118-125
REVIEW-P1-16,P1,backend/auth,Gate account-linking by email_verified claim,"При первом OIDC-логине, если в локальной БД уже есть пользователь с таким email (бутстрап-admin), нельзя автоматически линковать Keycloak-аккаунт без проверки email_verified из OIDC-claims. Атака: злоумышленник регистрирует unverified-аккаунт под email админа и захватывает доступ. Задача: пробросить email_verified через _upsert_user, отказывать в линковке если false.",backend/app/api/auth.py:200-204; backend/app/api/auth.py:515-544
REVIEW-P1-18,P1,backend/news/export,Reuse singleton Chromium for PDF export,"render_pdf запускает новый экземпляр Chromium на каждый экспорт — высокая стоимость холодного старта. Задача: вынести запуск Chromium в lifespan приложения (singleton browser), переиспользовать через context-pool, защитить mutex'ом.",backend/app/api/news/export.py:265-269; backend/app/core/pdf.py
REVIEW-P1-19,P1,backend/news/export,Move base64 cover-image encoding off event loop,"base64-кодирование больших cover-изображений блокирует event loop. Сейчас вызов уже обёрнут в asyncio.to_thread(to_uri, ...) — задача: подтвердить, что для всех изображений (cover + gallery) используется to_thread, добавить лимит на размер.",backend/app/api/news/export.py:178-181
REVIEW-P1-20,P1,backend/auth,Serialise concurrent first-logins for same email,"При одновременном первом OIDC-логине двух запросов под одним email возможна гонка: оба пытаются INSERT, один падает с UNIQUE(email)=500, плюс TOCTOU-окно в account-linking. Задача: внедрить advisory-lock (pg_advisory_xact_lock по hash(email)) или Redis-mutex на критическую секцию upsert+link.",backend/app/api/auth.py:515-544
